Aali Pascha	1815
Joseph Johann von Littrow	13. März 1781
Berthold Litzmann	18. April 1857
Liverpool	10. Mai 1727
David Livingstone	19. März 1813
Gustav Håkon Jordan Ljunggren	6. März 1823
Don Juan Antonio Llorente	30. März 1756
Nikolaj Jwanowitsch Lobatschewskij	2. Nov. 1793
Georges Mouton Lobau	21. Febr. 1770
Johann Christian Lobe	30. Mai 1797
Theodor Lobe	8. März 1833
Julius Löbe	8. Jan. 1805
Christian August Lobeck	5. Juni 1781
Johann Wilhelm Loebell	15. Sept. 1786
Lobkowitz	14. Mai 1835
Ludwig Lobmeyr	2. Aug. 1829
Paul Lobstein	28. Juli 1850
John Locke	29. Aug. 1632
John Gibson Lockhart	14. Juli 1794
Lockroy	18. Juli 1838
Joseph Norman Lockyer	17. Mai 1836
Walter Loë	9. Sept. 1828
Ernst Löffler	28. Febr. 1835
Friedrich Loeffler	24. Juni 1852
Ludwig von Löfftz	21. Juni 1845
Augustus William Frederick Spencer Loftus	4. Okt. 1817
Martinus Gesinus Lambert van, Loghem	3. April 1849
Wilhelm Löhe	21. Febr. 1808
Daniel Kaspar von Lohenstein	25. Jan. 1635
Franz von Löher	15. Okt. 1818
Julius Lohmeyer	6. Okt. 1835
Abraham Dirk Loman	16. Sept. 1823
Johann Wilhelm Lombard	1. April 1767
Lombroso	1836
Loménie de Brienne	1727
Michail Wassiljewitsch Lomonóssow	19. Nov. 1712
Londonderry	18. Mai 1778
Henry Wadsworth Longfellow	27. Febr. 1807
Giuseppe Longhi	13. Okt. 1766
Edgar Loening	14. Juni 1843
Elias Lönnrot	9. April 1802
Melchior Lónyay	6. Jan. 1822
Friedrich Loofs	19. Juni 1858
Gustav von Loeper	27. Sept. 1822
Don Carlos Antonio Lopez	4. Nov. 1790
Otto Lorenz	8. Juni 1831
Ottokar Lorenz	17. Sept. 1832
Karl Julius Tuisko Lorey	2. April 1845
Karl Ignaz Lorinser	24. Juli 1796
Michail Tarijelowitsch, Loris-Melikow	2. Nov. 1825
Uwe Jens Lornsen	18. Nov. 1793
Albert Lortzing	23. Okt. 1801
Johann Loserth	1. Sept. 1846
Lothar III.	1065
Ferdinand Lotheißen	20. Mai 1833
Petrus Lotichius	2. Nov. 1528
Rudolph Hermann Lotze	21. Mai 1817
Emile Loubet	31. Dez. 1838
Pierre Louis Louvel	7. Okt. 1783
Jean Bapt Louvet de Couvray	11. Juni 1760
François Michel Le Tellier Louvois	18. Jan. 1641
Sir Hudson Lowe	28. Juli 1769
Karl Loewe	30. Nov. 1796
Ludwig Löwe	29. Jan. 1795
Wilhelm Löwe	14. Nov. 1814
James Russell Lowell	22. Febr. 1819
Löwendal	1. April 1700
Löwenstein	25. Sept. 1854
Rudolf Löwenstein	20. Febr. 1819
Loyola	1491
Heinrich August Lübben	21. Jan. 1818
Sir John Lubbock	30. April 1834
Lüben	1837
Wilhelm Lübke	17. Jan. 1826
Hugo Lubliner	22. April 1846
August Lucae	24. Aug. 1835
Richard Lucae	12. April 1829
Hermann von Lucanus	24. Mai 1831
Eduard Lucas	19. Juli 1816
Pauline Lucca	25. April 1841
Girolamo Lucchesini	7. Mai 1751
Albert Lücke	4. Juni 1829
Nikolas Luckner	12. Jan. 1722
Hermann Lüdemann	15. Sept. 1842
Heinrich Luden	10. April 1780
Franz Adolf Eduard Lüderitz	16. Juli 1834
Alexander Nikolajewitsch Lüders	26. Jan. 1790
Hiob Ludolf	15. Jan. 1624
Arthur Ludwich	18. März 1840
Ludwig IV.	1287
Ludwig Wilhelm I.	8. April 1655
Ludwig I.	1174
Ludwig I.	25. Aug. 1786
Ludwig II.	25. Aug. 1845
Ludwig Prinz von Bayern	7. Jan. 1845
Ludwig	1315
Ludwig IX.	25. April 1215
Ludwig X.	4. Okt. 1289
Ludwig XI.	3. Juli 1423
Ludwig XII.	27. Juni 1462
Ludwig XIII.	27. Sept. 1601
Ludwig XV.	15. Febr. 1710
Ludwig XVI.	23. Aug. 1754
Ludwig XVII.	27. März 1785
Ludwig XVIII.	17. Nov. 1755
Ludwig Philipp	6. Okt. 1773
Ludwig IV.	12. Sept. 1837
Ludwig Salvator Erzherzog von Österreich	4. Aug. 1847
Ludwig I.	31. Okt. 1838
Ludwig	18. Nov. 1772
Ludwig	1042
Ludwig I.	5. März 1326
Karl Ludwig	29. Dez. 1816
Karl Ludwig	18. Jan. 1839
Otto Ludwig	11. Febr. 1813
Karl Luëger	24. Okt. 1844
Lufft	1495
Luise Henriette	17. Nov. 1627
Luise Königin von Preußen	10. März 1776
Luise Dorothee Herzogin von Sachsen-Gotha und Alt	10. Aug. 1710
Luise	1476
Luise Ulrike Königin von Schweden	24. Juli 1720
Prinz-Regent von Bayern Luitpold	12. März 1821
Ladislaus von Lukács	24. Okt. 1850
Lukas	1494
Lullus	1235
Lully	1633
Evariste Vital Luminais	18. Okt. 1821
Troels Frederik Lund	7. Sept. 1840
Johan August Lundell	25. Juli 1851
Egron Sellif Lundgren	18. Dez. 1815
Christian Lürssen	6. Mai 1843
Felix von Luschan	11. Aug. 1854
Luszczewska	1830
Christoph Ernst Luthardt	22. März 1823
Martin Luther	10. Nov. 1483
Feodor Petrowitsch Lütke	28. Sept. 1797
Ascan Lutteroth	5. Okt. 1842
Johann Lutz	4. Dez. 1826
Adolf Lützow	18. Mai 1782
Karl von Lützow	25. Dez. 1832
Therese von Lützow	4. Juli 1804
Friedrich Lux	24. Nov. 1820
Luxembourg	8. Jan. 1628
Charles d'Albert Luynes	5. Aug. 1578
Luigi Luzzatti	11. März 1841
Alexej Fedorowitsch Lwoff	6. Juni 1799
August Lydtin	11. Juli 1834
Sir Charles Lyell	14. Nov 1797
Lyly	1554
Lynar	24. April 1825
Edmund Lyons	29. Nov. 1790
George Lyttelton	17. Jan. 1709
Ernst Maaß	12. April 1856
Friedrich Maassen	24. Sept. 1823
Karl Georg Maaßen	23. Aug. 1769
Jean Mabillon	23. Nov. 1632
Gabr. Bonnet de Mably	14. März 1709
Thomas Babington Macaulay	25. Okt. 1800
Justin MacCarthy	22. Nov. 1830
George Brinton MacClellan	3. Dez. 1826
MacClintock	1819
Sir Robert John Le Mesur MacClure	28. Jan. 1807
John Ramsay MacCulloch	1. März 1789
Etienne Jacques Joseph Alexander Macdonald	17. Nov. 1765
MacDonald	1824
Patrick MacDowell	12. Aug. 1799
George Alexander MacFarren	2. März 1813
Ernst Mach	18. Febr. 1838
Niccolò Machiavelli	3. Mai 1469
Maciejowski	1793
John Henry Mackay	6. Febr. 1864
Fritz Mackensen	8. April 1866
Alexander Mackenzie	22. Aug. 1847
Sir Morell Mackenzie	7. Juli 1837
William MacKinley	29. Jan. 1843
Mackintosh	1766
Karl Mack von Leiberich	24. Aug. 1752
Maclise	1811
Mac-Mahon	13. Juni 1808
James Macpherson	27. Okt. 1736
Imre Madách	21. Jan. 1823
Otto Wilhelm Madelung	15. Mai 1846
Stanislaus Madeyski von Poraj	24. April 1841
James Madison	16. März 1751
Johann Heinrich von Mädler	29. Mai 1794
Johann Nicolai Madvig	7. Aug. 1804
Maes	1632
Maurice Maeterlinck	28. Aug. 1862
Maffei	1800
Francesco Scipione Maffei	1. Juni 1675
Domingo José Gonçalve Magalhães	13. Aug. 1811
François Magendie	15. Okt. 1783
Antonio Magliabecchi	28. Okt. 1633
Eduard Magnus	7. Jan. 1799
Gustav Magnus	2. Mai 1802
Harro Magnussen	14. Mai 1861
Magnusson	27. Aug. 1781
John Pentland Mahaffy	26. Febr. 1839
Mahdi	1844
Gustav Mahler	7. Juli 1860
Siegfried August Mahlmann	13. Mai 1771
Jakob Mähly	24. Dez. 1828
Mahmud I.	1696
Richard Mahrenholtz	23. April 1849
Louis Aimé Maillart	24. März 1817
Joseph Maximilian Fridolin Maillinger	4. Okt. 1820
Maine	31. März 1670
Maintenon	27. Nov. 1635
Nicolas Joseph Maison	19. Dez. 1771
Joseph Maistre	1. April 1754
Majano	1444
Apollon Nikolajewitsch Májkow	4. Juni 1821
Johann Majláth	3. Okt. 1786
Majorescu	1840
Paul Majunke	14. Juli 1842
Makadamisieren	21. Sept. 1756
Makárov	1846
Hans Makart	28. Mai 1840
Makowskij	1839
Sir John Malcolm	2. Mai 1769
Nicole Malebranche	6. Aug. 1638
Chrétien Guillaume de L Malesherbes	6. Dez. 1721
Claude François de Malet	28. Juni 1754
Malherbe	1555
Christian Mali	6. Okt. 1832
Maria Felicita Malibran	24. März 1808
Mallarmé	1842
Hermann von Mallinckrodt	5. Febr. 1821
Mathilde Mallinger	16. Febr. 1848
Bernhard Elis Malmström	14. März 1816
Johann August Malmström	14. Okt. 1829
Ernst von Malortie	15. Nov. 1804
Hector Malot	20. Mai 1830
Marcello Malpighi	10. März 1628
Maltebrun	12. Aug. 1775
Therese Malten	21. Juni 1855
Thomas Robert Malthus	17. Febr. 1766
Friedrich Franz Maltitz	6. Juni. 1794
Hellmuth Maltzahn	6. Jan. 1840
Wendelin Maltzahn	10. Mai 1815
Heinrich von Maltzan	6. Sept. 1826
Johann Nep. Mälzel	15. Aug. 1772
Mancini	1640
Pasquale Stanislao Mancini	17. März 1817
Eduard Mandel	15. Febr. 1810
Gustav Mandry	31. Jan. 1832
Manet	1833
Manfred	1231
Daniele Manin	13. Mai 1804
Bernhard Mannfeld	6. März 1848
Wilhelm Mannhardt	26. März 1831
Henry Edward Manning	15. Juli 1808
Ferdinand Mannlicher	30. Jan. 1848
Wilhelm Mannstaedt	20. Mai 1837
Mansart	1598
Mansfeld	1580
Mansi	1692
Johann Kasp. Friedrich Manso	26. Mai 1760
Albrecht Ehrenreich Gustav von Manstein	24. Aug. 1805
Paolo Mantegazza	31. Okt. 1831
Mantegna	1431
Edwin Manteuffel	24. Febr. 1809
Otto Theodor Manteuffel	3. Febr. 1805
Manuel I. Komnenos	1122
Don Juan Manuel	5. Mai 1282
Manutius	1448
Ludwig Manzel	3. Juni 1858
Alessandro Manzoni	7. März 1785
Gertrud Elisabeth Mara	23. Febr. 1749
Jean Paul Marat	24. Mai 1744
Maratta	1625
François Séverin Desgraviers Marceau	1. März 1769
Benedetto Marcello	24. Juli 1686
Felix Marchand	22. Okt. 1846
Thomas Marchand	22. Nov. 1863
Mathilde Marchesi	26. März 1826
Pompeo Cavaliere Marchesi	7. Aug. 1789
Max Maercker	25. Okt. 1842
Erich Marcks	17. Nov. 1861
Guilelmo Marconi	25. April 1874
Marco Polo	1254
Hans von Marées	24. Dez. 1837
Maresch	1719
Hugo Bernard Maret	1. März 1763
Etienne Julius Marey	5. März 1830
Margarete	23. März 1429
Margarete	1353
Margarete Statthalterin der Niederl	10. Jan. 1480
Margarete	1522
Margarete	11. April 1492
Margarete Maultasch	1318
Andreas Sigismund Marggraf	3. März 1709
Hermann Marggraff	14. Sept. 1809
Paul Margueritte	20. Febr. 1860
Philipp Konrad Marheineke	1. Mai 1780
Maria Theresia	13. Mai 1717
Maria Königin von Bayern	15. Okt. 1825
Erbtochter Karls des Kühnen Maria	13. Febr. 1457
Maria I. Tudor	18. Febr. 1516
Maria Luise Königin von Etrurien	6. Juli 1782
Maria Königin von Frankreich	26. April 1573
Maria Theresia Königin von Frankreich	10. Sept. 1638
Maria Antoinette	2. Nov. 1755
Maria Louise Kaiserin der Franzosen	12. Dez. 1791
Maria II.	30. April 1662
Maria II.	4. April 1819
Maria Königin von Schottland	22. Nov. 1515
Maria Stuart	8. Dez. 1542
Maria Sophie Amalie	4. Okt. 1841
Maria Luise Königin von Spanien	9. Dez. 1751
Maria Christina Königin von Spanien	27. April 1806
Maria Christina Königin von Spanien	21. Juli 1858
Maria Königin von Ungarn	17. Sept. 1505
Mariana	1536
Raffaele Mariano	5. Sept. 1840
August Edouard Mariette	11. Febr. 1821
Giambattista Marini	18. Okt. 1569
Marivaux	4. Febr. 1688
Albert Hastings Markham	11. Nov. 1841
Clements Robert Markham	20. Juni 1830
Schriftstellername des ame Mark Twain	30. Nov. 1835
Marlow	Febr. 1564
Xavier Marmier	24. Juni 1809
Auguste Frédéric Louis Viesse Marmont	20. Juli 1774
Jean François Marmontel	11. Juli 1723
Marnix	1538
Marochetti	1805
Marot	1495
Heinrich von Marquardsen	25. Okt. 1826
Karl Joachim Marquardt	19. April 1812
Frederick Marryat	10. Juli 1792
Mars	9. Febr. 1779
Adolf Hermann Freiherr Marschall von Bieberstein	12. Okt. 1842
Heinrich Marschner	16. Aug. 1795
James Marsh	2. Sept. 1794
Othniel Charles Marsh	29. Okt. 1831
William Marshall	6. Sept. 1845
Marshall	1813
Westland Marston	30. Jan. 1819
Wilhelm Marstrand	24. Dez. 1810
Martel de Janville	1850
Eduard von Martens	18. April 1831
Georg Friedrich von Martens	22. Febr. 1756
Hans Lassen Martensen	19. Aug. 1808
Friedrich Martersteig	11. März 1814
Martignac	1776
Ernst Martin	5. Mai 1841
Henri Martin	20. Febr. 1810
Konrad Martin	18. Mai 1812
Martin	1846
Martinez Campos	1834
Don Francisco Martinez de la Rosa	10. März 1789
Ferdinando Martini	30. Juli 1841
Jaroslaw Bořita Martinitz	6. Jan. 1582
Karl Friedrich Philipp von Martius	17. April 1794
Friedrich August Ludwig von der Marwitz	29. Mai 1777
Adolf Bernhard Marx	15. Mai 1795
Friedrich Marx	22. April 1859
Karl Marx	5. Mai 1818
Masaccio	21. Dez. 1401
Masaniello	1622
Pietro Mascagni	7. Dez. 1863
Johann Jakob Mascov	26. Nov. 1689
Hermann Masius	7. Jan. 1818
Gaston Camille Charles Maspero	23. Juni 1846
André Masséna	6. Mai 1758
Christian von Massenbach	16. April 1758
Jules Massenet	12. Mai 1842
Jean Baptiste Massillon	24. Juni 1663
Massinger	1584
Hans Ferdinand Maßmann	15. Aug. 1797
Masson	1636
Emilie Mataja	20. Nov. 1855
Johann Matéjko	30. Juli 1838
Amalie Materna	10. Juli 1847
Johs. Mathesius	24. Juni 1504
Mathilde	1102
Karl Mathy	17. März 1806
Adalbert Matkowsky	6. Dez. 1857
Johann Mattheson	28. Sept. 1681
Brander Matthews	21. Febr. 1852
Matthias	24. Febr. 1557
Matthias I. Corvinus	1443
Friedrich von Matthisson	23. Jan. 1761
Eduard Mätzner	25. Mai 1805
Karl Mauch	7. Mai 1837
Alfred Maul	13. April 1828
Guy de Maupassant	5. Aug. 1850
Maupeou	1714
Pierre Louis Moreau de Maupertuis	28. Sept. 1698
Wilhelm Maurenbrecher	21. Dez. 1838
Jean Frédéric Phélippeaux Maurepas	9. Juli 1701
Georg Ludwig Maurer	2. Nov. 1790
Justus van Maurik	16. Aug. 1846
Maurokordatos	15. Febr. 1791
Mauromichalis	1775
Jean Siffrein Maury	26. Juni 1746
Matthew Fontaine Maury	24. Jan. 1806
Wilhelm Mauser	2. Mai 1834
Fritz Mauthner	22. Nov. 1849
Eduard Mautner	13. Nov. 1824
Jakob Mauvillon	8. März 1743
Gabriel von Max	23. Aug. 1840
Maximilian I.	22. März 1459
Maximilian II.	31. Juli 1527
Maximilian I.	17. April 1573
Maximilian	1662
Maximilian	28. März 1727
Maximilian I. Joseph	27. Mai 1756
Maximilian II. Joseph	28. Nov. 1811
Herzog in Bayern Maximilian Joseph	4. Dez. 1808
Maximilian Heinrich	1621
Xaver Joseph Maximilian Franz	8. Dez. 1756
Ferdinand Joseph Maximilian	6. Juli 1832
Maximilianstürme	14. Juli 1782
Maxwell	1831
Albert von Maybach	29. Nov. 1822
Adolf Eduard Mayer	9. Aug. 1843
Karl Mayer	22. März 1786
Otto Mayer	29. März 1846
Robert von Mayer	25. Nov. 1814
Georg von Mayr	12. Febr. 1841
Jules Mazarin	14. Juli 1602
Ivan Mazuranic	11. Aug. 1814
Giuseppe Mazzini	22. Juni 1805
Mazzolini	1479
Leo Mechelin	24. Nov. 1893
Mechitaristen	1676
Johann Friedrich Meckel	17. Okt. 1781
Medici	1389
Oskar Meding	11. April 1829
Meer	1628
Richard von Meerheimb	14. Jan. 1825
Johs. Richard zur Megede	8. Sept. 1864
Mehemed Ali	1769
Mehemed Ali Pascha	18. Nov. 1827
Etienne Henri Méhul	22. Juni 1763
Heinrich Meibom	29. Juni 1638
Ernst von Meier	12. Okt. 1832
Hermann Henrich Meier	16. Okt. 1809
Friedrich Meili	2. April 1848
Gustav Meinecke	15. Febr. 1854
Meinhold	12. Aug. 1861
Wilhelm Meinhold	27. Febr. 1797
August Gottlieb Meißner	4. Nov. 1753
Georg Meißner	19. Nov. 1829
Ernest Meissonier	21. Febr. 1815
August Meitzen	16. Dez. 1822
Otto Mejer	27. Mai 1818
Philipp	16. Febr. 1497
Michael Melas	12. Mai 1729
William Lamb Melbourne	15. März 1779
Anton Melbye	13. Febr. 1818
Paulus Melchers	6. Jan. 1813
Don Juan Meléndez Valdes	11. März 1754
Giovanni Meli	4. März 1740
Jules Méline	20. Mai 1838
Lucien Mélingue	18. Dez. 1841
Gustav Henrik Mellin	23. April 1803
Don Francisco Manuel de Melo	23. Nov. 1611
Francesco Melzi d'Eril	6. März 1753
Luigi Federigo Menabrea	4. Sept. 1809
Joachim Ménant	16. April 1820
Familie Mencke	22. März 1644
Dmitrij Iwanowitsch Mendeléjew	8. Febr. 1834
Moses Mendelssohn	6. Sept. 1729
Felix Mendelssohn-Bartholdy	3. Febr. 1809
Catulle Mendès	22. Mai 1843
José da Silva Mendes Leal	18. Okt. 1818
Eugéne Menegoz	25. Sept. 1838
Anton Menger	12. Sept. 1841
Raphael Mengs	12. März 1728
Menilek Kaiser von Abessinien	17. Aug. 1844
Menno	1492
Ciro Menotti	23. Jan. 1798
Menschikow	16. Nov. 1672
Alexander Mensdorf-Pouilly	4. Aug. 1813
Sophie Meuter	29. Juli 1846
Adolf von Menzel	8. Dez. 1815
Karl Adolf Menzel	7. Dez. 1784
Wolfgang Menzel	21. Juni 1798
Saverio Mercadante	26. Juni 1797
Antonin Mercié	30. Okt. 1845
Louis Sébastien Mercier	6. Juni 1740
Johann Heinrich Merck	11. April 1741
George Meredith	12. Febr. 1828
Merian	1593
Peter Merian	20. Dez. 1795
Prosper Mérimée	28. Sept. 1803
Charles Merivale	8. März 1808
Adolf Merkel	11. Jan. 1836
Garlieb Merkel	21. Okt. 1769
Merle d'Aubigné	16. Aug. 1794
Kaspar Mermillod	22. Sept. 1824
Raffaele Merry del Val	10. Okt. 1865
Adalbert Merx	2. Nov. 1838
Meschtschérskij	1839
Hendrik Willem Mesdag	23. Febr. 1831
Mesmer	23. Mai 1733
Angelo Messedaglia	2. Nov. 1820
Pietro Antonio Domenico Bonaventura Metastasio	13. Jan. 1698
Albert Methfessel	6. Okt. 1785
Iljitsch Metschników	15. Mai 1845
Metsu	1629
Klemens Metternich	15. Mai 1773
Alfred Metzener	7. Dez. 1833
Georg von Metzsch	14. Juli 1836
Meulen	1632
Karl Hartw. Greg. Meusebach	6. Juni 1781
Alexander Meyer	22. Febr. 1832
Eduard Meyer	25. Jan. 1855
Georg Meyer	21. Febr. 1841
Georg Hermann von Meyer	16. Aug. 1815
Gustav Meyer	25. Nov. 1850
Hans Meyer	22. März 1858
Heinrich Meyer	16. März 1760
Hermann Julius Meyer	4. April 1826
Hermann Meyer	11. Jan. 1871
Hugo von Meyer	11. Febr. 1837
Johann Meyer	5. Jan 1829
Johann Georg Meyer	28. Okt. 1813
Joseph Meyer	9. Mai 1796
Jürgen Bona Meyer	25. Okt. 1829
Klara Meyer	7. Okt. 1851
Klaus Meyer	20. Nov. 1856
Konrad Ferdinand Meyer	11. Okt. 1825
Leo Meyer	3. Juli 1830
Leuthold Wilhelm von Meyer	11. Dez. 1816
Lothar Meyer	19. Aug. 1830
Paul Meyer	17. Jan. 1840
Meyer	5. Juli 1860
Rudolph Hermann Meyer	10. Dez. 1839
Viktor Meyer	8. Sept. 1848
Wilhelm Meyer	15. Febr. 1853
Giacomo Meyerbeer	5. Sept. 1791
Eduard Meyerheim	7. Jan. 1808
Wilhelm Meyer-Lübke	30. Jan. 1861
Ludwig Meyer von Knonau	12. Sept. 1769
Melchior Meyr	28. Juni. 1810
Malvida von Meysenbug	28. Okt. 1816
Meytens	1695
Johann Georg Mezger	22. Aug. 1839
Alfred Mezières	19. Nov. 1826
Giuseppe Mezzofanti	17. Sept. 1774
August von Miaskowski	26. Jan. 1838
Michael Alexandrowitsch Großfürst von Rußland	4. Dez. 1878
Michael Nikolájewitsch Großfürst von Rußland	25. Okt. 1832
Adolf Michaelis	22. Juli 1835
Johann David Michaelis	27. Febr. 1717
Joseph Michaud	19. Juni 1767
Louise Michel	20. April 1833
Jules Michelet	21. Aug. 1798
Karl Ludwig Michelet	1. Dez. 1801
Friedrich Michelis	27. Juli 1815
Michelozzo	1396
Paolo Michetti	2. Okt. 1851
Jean Hippolyte Michon	21. Nov. 1806
Adam Mickiewicz	24. Dez. 1798
Alexander Theodor von Middendorff	18. Aug. 1815
Midhat Pascha	1822
Michiel Mierevelt	1. Mai 1567
Mieris	1635
Mieroslawski	1814
Mignard	1612
Jacques Paul Migne	25. Okt. 1800
François Auguste Marie Mignet	8. Mai 1796
Dom Maria Evarist Miguel	26. Okt. 1802
Franz von Miklosich	20. Nov. 1813
Miklucho-Maclay	1846
Koloman Mikszáth	16. Jan. 1849
Mikulicz-Radecki	16. Mai 1850
Milan I.	22. Aug. 1854
Artur Milchhöfer	21. März 1852
Nelson Appleton Miles	8. Aug. 1839
Pawel Nikolajewitsch Miljúkow	27. Jan. 1859
Dimitrij Alexejewitsch Miljútin	10. Juli 1816
John Stuart Mill	20. Mai 1806
John Everett Millais	8. Juni 1829
Stephan von Millenkovics	9. März 1836
Ferdinand von Miller	18. Okt. 1813
Joaquin Miller	10. Nov. 1841
Martin Miller	3. Dez. 1750
Alexandre Millerand	10. Febr. 1859
Aimé Millet	27. Sept. 1819
Jean François Millet	4. Okt. 1814
Karl Millöcker	29. Mai 1842
Henry Hart Milman	10. Febr. 1791
Henri Milne-Edwards	23. Okt. 1800
Alfred Milner	23. März 1854
Milorádowitsch	1770
John Milton	9. Dez. 1608
Mind	1768
Minelli	1625
Marco Minghetti	8. Nov. 1818
Neßler Minié	13. Febr. 1804
Wilhelm Minnigerode	28. Nov. 1840
Jakob Minor	15. April 1855
Gilbert Elliot Minto	23. April 1751
Gilbert John Minto	9. Juli 1847
Theodor Mintrop	17. April 1814
Heinrich Minutoli	12. Mai 1772
Théodore Edme Mionnet	12. Sept. 1770
Johannes von Miquel	19. Febr. 1828
Honoré Gabriel Riquetti Mirabeau	9. März 1749
Julius Mirbach	27. Juni 1839
Octave Mirbeau	16. Febr. 1850
Karl Theodor Mirbt	21. Juli 1860
Ernst Mischler	23. Dez. 1857
Frédéric Mistral	8. Sept. 1830
Mitchellsche Kur	1829
Mary Russell Mitford	16. Dez. 1786
Eilhard Mitscherlich	7. Jan. 1794
Ludwig Mitteis	17. März 1859
Karl Joseph Anton Mittermaier	5. Aug. 1787
Anton Mitterwurzer	12. April 1818
Hermann Mittnacht	17. März 1825
Karl Möbius	7. Febr. 1825
Paul Möbius	24. Jan. 1853
Theodor Möbius	22. Juni 1821
Mohammed	1430
Robert von Mohl	17. Aug. 1799
Johann Adam Möhler	6. Mai 1796
Henrik Mohn	15. Mai 1835
Eduard Mohr	19. Febr. 1828
Artur Pawlowitsch Mohrenheim	8. Juni 1824
Henri Ferdinand Marie Moissan	28. Sept. 1852
Edmund Mojsisovics	18. Okt. 1839
Jakob Moleschott	9. Aug. 1822
Jean Baptiste Poquelin Molière	15. Jan. 1622
Johann Peter Molin	17. März 1814
Molina	1535
Gustav de Molinari	3. März 1819
Michael Molinos	21. Dez. 1640
Wichard Joachim Heinrich von Möllendorf	7. Jan. 1724
Eduard von Möller	3. Juni 1814
Theodor von Möller	10. Aug. 1840
Balduin Möllhausen	27. Jan. 1825
Hellmuth Moltke	26. Okt. 1800
Theodor Mommsen	30. Nov. 1817
Franz Joseph Mone	12. Mai 1796
Gaspard Monge	10. Mai 1746
George Monk	6. Dez. 1608
Monmouth	9. April 1649
Monod	1802
Gabriel Monod	7. März 1844
Ditlev Gothard Monrad	24. Nov. 1811
James Monroe	28. April 1758
Monsigny	1729
Montagu	1689
Michel Eyquem de Montaigne	28. Febr. 1533
Montalembert	29. Mai 1810
Montalembert	16. Juli 1714
Montecuccoli	21. Febr. 1609
Sir Moses Montefiore	24. Okt. 1784
Oskar Montelius	9. Sept. 1843
Dietrich Monten	13. Sept. 1799
Xavier Aymon de Montépin	18. März 1824
Montespan	1641
Montesquieu	18. Jan. 1689
Giulio Monteverde	8. Okt. 1837
Montfaucon	13. Jan. 1655
Montfort l'Amaury	1206
Maximillian Montgelas	10. Sept. 1759
Jacques Etienne Montgolfier	7. Jan. 1745
Florence Montgomery	17. Jan. 1843
James Montgomery	4. Nov. 1771
Monthyon	23. Dez. 1733
Vicenzo Monti	19. Febr. 1754
Montmorency	15. März 1493
Montpensier	18. Juli 1552
Alexander Monts	9. Aug. 1832
Thomas Moore	28. Mai 1779
Moran	1829
Nicolas Fernandez de Moratin	20. Juli 1737
Gustave Moreau	6. April 1826
Jean Victor Moreau	14. Febr. 1763
Mathurin Moreau	18. Nov. 1822
Auguste Benedicte Morel	22. Nov. 1809
Morelli	1816
Moreto y Cabaña	1618
Giovanni Battista Morgagni	25. Febr. 1682
John Pierpont Morgan	17. April 1837
Morgan	1783
Kurt Morgen	1. Nov. 1858
Christian Morgenstern	29. Sept. 1805
Lina Morgenstern	25. Nov. 1830
Raffaello Morghen	19. Juni 1758
Daniel Georg Morhof	6. Febr. 1639
Eduard Mörike	8. Sept. 1804
Johann Kaspar Mörikofer	11. Febr. 1799
Moritz Prinz von Anhalt-Dessau	31. Okt. 1712
Moritz Landgraf von Hessen	25. Mai 1572
Moritz Prinz von Oranien	14. Nov. 1567
Moritz	21. März 1521
Moritz Graf von Sachsen	28. Okt. 1696
Karl Philipp Moritz	15. Sept. 1756
Morley	1849
Henry Morley	15. Sept. 1822
John Morley	24. Dez. 1838
Mormonen	23. Dez. 1805
Philippe de Mornay	5. Nov. 1549
Charles Auguste Louis Josephe Morny	23. Okt. 1811
Morosini	1618
Sir Lewis Morris	23. Jan. 1833
Morris	1834
Samuel Finley Breese Morse	27. April 1791
Edouard Adolphe Casimir Joseph Mortier	13. Febr. 1768
Sir Thomas Morus	7. Febr. 1478
Ignaz Moscheles	30. Mai 1794
Moscherosch	5. März 1601
Julius Mosen	8. Juli 1803
Salomon Hermann Mosenthal	14. Jan. 1821
Gustav von Moser	11. Mai 1825
Johann Jakob Moser	18. Jan. 1701
Albert Möser	7. Mai 1835
Justus Möser	14. Dez. 1720
Johann Lorenz von Mosheim	9. Okt. 1694
Friedrich Mosler	8. März 1831
Rudolf Mosse	9. Mai 1843
Angelo Mosso	31. Mai 1846
Johann Joseph Most	5. Febr. 1846
Moritz Moszkowski	23. Aug. 1854
Oskar Mothes	27. Dez. 1828
John Lothrop Motley	15. April 1814
Felix Mottl	29. Aug. 1856
Friedrich Christian Adolf von Motz	18. Nov. 1775
Jean Josephe Mounier	12. Nov. 1758
Wolfgang Amadeus Mozart	14. Nov. 1719
Heinrich Mücke	9. April 1806
Friedrich Ferdinand Karl Müffling	12. Juni 1775
Theodor Mügge	8. Nov. 1806
Heinrich von Mühler	4. Nov. 1813
Mühlfeld	1810
